indicator,unit,control_N0_mean,control_N0_se,control_N0_sig,N30_mean,N30_se,N30_sig,N60_mean,N60_se,N60_sig,N90_mean,N90_se,N90_sig,N120_mean,N120_se,N120_sig,N150_mean,N150_se,N150_sig
soil_ph,unitless,7.8,0.02,f,7.37,0.03,e,7.15,0.02,d,6.92,0.02,c,6.68,0.03,b,6.22,0.02,a
microbial_biomass_nitrogen,μg/g,51.76,0.85,b,75.01,3,c,83.01,3.63,d,88.51,3.12,e,53.74,1.47,b,46.22,1.67,a
ammonification_rate,μg·g⁻¹·month⁻¹,10.17,0.35,a,12.12,0.51,abc,13.87,0.66,cd,14.7,0.7,d,13.16,1.16,bcd,11.36,0.87,ab
nitrification_rate,μg·g⁻¹·month⁻¹,6.98,0.23,a,8.51,0.5,c,9.35,0.58,c,10.18,0.71,d,8.86,0.81,cd,7.97,0.66,ab
nitrogen_mineralization_rate,μg·g⁻¹·month⁻¹,17.15,0.58,a,20.63,1,abc,23.22,1.21,cd,24.88,1.41,d,22.02,1.97,bcd,19.33,1.53,ab
ammonium_nitrogen,μg/g,4.61,0.17,a,5.91,0.2,c,6.97,0.2,d,8.59,0.26,e,6.16,0.21,cd,5.45,0.19,b
nitrate_nitrogen,μg/g,2.66,0.09,a,3.68,0.08,c,4.73,0.12,e,5.2,0.19,f,3.99,0.16,d,3.2,0.12,b
inorganic_nitrogen,μg/g,7.28,0.25,a,9.59,0.28,c,11.7,0.31,e,13.79,0.43,f,10.15,0.34,d,8.65,0.27,b
total_nitrogen,g/kg,1.23,0.06,a,1.6,0.09,bc,2.23,0.1,d,2.44,0.13,d,1.74,0.07,c,1.43,0.03,ab
ammonium_leaching,μg/g,1.42,0.14,a,1.73,0.16,b,1.9,0.16,c,2.23,0.18,d,2.33,0.19,e,2.97,0.24,f
nitrate_leaching,μg/g,2.41,0.18,a,3.23,0.23,b,3.74,0.28,c,4.04,0.28,d,4.38,0.31,e,4.62,0.33,f
inorganic_nitrogen_leaching,μg/g,3.83,0.32,a,4.96,0.39,b,5.64,0.43,c,6.27,0.46,d,6.71,0.5,e,7.59,0.56,f
